id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019de498-e7ee-7910-894a-5c26c8ed5c90,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-05-01 17:31:59.342739+00:00
019de498-e7ef-7c33-9722-54f695c983bb,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-05-01 17:31:59.342760+00:00
019de498-e7f0-79c2-ad5c-eac39f0a8840,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-05-01 17:31:59.342770+00:00
019de498-e7f1-7a0c-a759-cbeae649d4c3,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-05-01 17:31:59.342778+00:00
019de498-e7f2-7476-b004-e7f5d641691f,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-05-01 17:31:59.342786+00:00
019de498-e7f3-79d3-841d-f417222315c5,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-05-01 17:31:59.342795+00:00
019de498-e7f4-7cdd-8081-a76842a06a96,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-05-01 17:31:59.342802+00:00
019de498-e7f5-7bd8-ab3f-59a13bab9a98,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-05-01 17:31:59.342808+00:00
019de498-e7f6-728b-a8a6-a45b58c9f18d,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-05-01 17:31:59.342815+00:00
019de498-e7f7-7077-8e7e-ee5904872a74,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-05-01 17:31:59.342822+00:00
